iter	RMSE
306	9.390951537
307	9.390197606
308	9.3890231
309	9.3861011
310	9.383124971
311	9.382823609
312	9.38091047
313	9.379088738
314	9.379024581
315	9.376534692
316	9.375323164
317	9.370014182
318	9.367451077
319	9.367324409
320	9.364447483
321	9.362196834
322	9.355910421
323	9.353282443
324	9.351175165
325	9.351117419
326	9.349271722
327	9.34689728
328	9.344362953
329	9.344201418
330	9.342082928
331	9.341513489
332	9.341397454
333	9.339328252
334	9.339185066
335	9.33675647
336	9.3354505
337	9.332554798
338	9.330603108
339	9.328540132
340	9.326725597
341	9.325833366
342	9.324157207
343	9.322641934
344	9.321024683
345	9.318347561
346	9.31378366
347	9.311955136
348	9.309215086
349	9.306106744
350	9.305147309
351	9.30136727
352	9.297726962
353	9.297444791
354	9.294216092
355	9.293708668
356	9.292518838
357	9.28950049
358	9.287395175
359	9.285838916
360	9.282146793
361	9.281877903
362	9.281801209
363	9.279411757
364	9.27809187
365	9.275639079
366	9.273151774
367	9.272319208
368	9.269387909
369	9.266539005
370	9.26438566
371	9.261166743
372	9.259502986
373	9.255958375
374	9.253235759
375	9.250605842
376	9.2492088
377	9.247378062
378	9.24546006
379	9.24461375
380	9.241607823
381	9.238386389
382	9.238055991
383	9.236566844
384	9.236499121
385	9.236371854
386	9.233702639
387	9.23365618
388	9.232725841
389	9.229973987
390	9.229695155
391	9.227063756
392	9.225978064
393	9.224123683
394	9.221526738
395	9.219284744
396	9.216148487
397	9.214467688
398	9.212550407
399	9.20749204
400	9.205060162
401	9.201944577
402	9.198518554
403	9.198427384
404	9.194684348
405	9.191830096
406	9.191383216
407	9.190507106
408	9.188084041
409	9.187799334
410	9.185207889
411	9.184893769
412	9.182776101
413	9.179607844
414	9.177900414
415	9.176568047
416	9.173456692
417	9.171083873
418	9.170238149
419	9.169234377
420	9.168306126
421	9.166776911
422	9.164349469
423	9.163009887
424	9.160907761
425	9.156165239
426	9.151983967
427	9.150164698
428	9.148504407
429	9.145545143
430	9.144145227
431	9.143397864
432	9.141011911
433	9.138686985
434	9.138248405
435	9.136530677
436	9.134317234
437	9.130505522
438	9.129101543
439	9.126487714
440	9.126138437
441	9.1247109
442	9.119575271
443	9.118782131
444	9.11859303
445	9.118041686
446	9.113539235
447	9.11161894
448	9.109625203
449	9.108131356
450	9.105880596
451	9.103506503
452	9.102034309
453	9.098614986
454	9.096932118
455	9.096386465
456	9.093691668
457	9.090974313
458	9.087624175
459	9.086597215
460	9.085154164
461	9.081598806
462	9.07959668
463	9.078803814
464	9.078325667
465	9.077745807
466	9.077271467
467	9.074872817
468	9.073060792
469	9.071992407
470	9.070032168
471	9.068611164
472	9.066991496
473	9.064933892
474	9.063864942
475	9.062061505
476	9.060021856
477	9.059214047
478	9.058933622
479	9.057473577
480	9.053414683
481	9.051452457
482	9.050116336
483	9.048767936
484	9.048588923
485	9.048511468
486	9.048438827
487	9.04745451
488	9.047294464
489	9.043579228
490	9.041900619
491	9.039967338
492	9.037893944
493	9.037526337
494	9.037409137
495	9.035234359
496	9.032431295
497	9.029144961
498	9.02712605
499	9.026342636
500	9.02454912
501	9.021621474
502	9.020126474
503	9.017750529
504	9.015906568
505	9.01278483
506	9.011928398
507	9.007882025
508	9.007698799
509	9.004458272
510	9.00291535
511	9.001806792
512	9.001688263
513	9.001132879
514	9.000447119
515	8.998740682
516	8.99670066
517	8.995290172
518	8.994260848
519	8.992895666
520	8.99104675
521	8.990045379
522	8.988227533
523	8.986047273
524	8.984534372
525	8.984492178
526	8.983403688
527	8.982361119
528	8.978662255
529	8.97815004
530	8.976915675
531	8.975206774
532	8.973379992
533	8.972262072
534	8.970809227
535	8.970584143
536	8.968471284
537	8.965078697
538	8.96080302
539	8.959665538
540	8.959614556
541	8.955706591
542	8.953400092
543	8.953347928
544	8.953326322
545	8.951704458
546	8.949788619
547	8.947113048
548	8.943353797
549	8.941993655
550	8.937687851
551	8.935778384
552	8.9351379
553	8.933216169
554	8.931572539
555	8.930214511
556	8.928656096
557	8.927033337
558	8.924899596
559	8.924589323
560	8.92334396
561	8.920663868
562	8.920553945
563	8.920063585
564	8.919828561
565	8.915370632
566	8.912927974
567	8.91180453
568	8.910236607
569	8.909952317
570	8.905285826
571	8.905039304
572	8.903042145
573	8.901293554
574	8.898540657
575	8.897907228
576	8.897360198
577	8.896155619
578	8.894572425
579	8.892348057
580	8.891317986
581	8.889433992
582	8.887125398
583	8.886903463
584	8.885521326
585	8.883465393
586	8.881653323
587	8.881572976
588	8.88134309
589	8.878463512
590	8.877756429
591	8.87580856
592	8.874753509
593	8.873755501
594	8.872237668
595	8.870213771
596	8.867388463
597	8.866964037
598	8.865953466
599	8.861972339
600	8.861387913
601	8.858709532
602	8.858133208
603	8.856952016
604	8.856286142
605	8.854529412
606	8.852542597
607	8.852197187
608	8.850384196
609	8.848175119
610	8.847974377
611	8.845330558
612	8.844372657
613	8.84194934
614	8.839804476
615	8.836863475
616	8.835269993
617	8.831435338
618	8.830406971
619	8.828069795
620	8.827472308
621	8.825389669
622	8.824887059
623	8.8244396
624	8.822656019
625	8.821166858
626	8.819271268
627	8.817821533
628	8.816387357
629	8.813936259
630	8.811678653
631	8.810783138
632	8.810319891
633	8.809055012
634	8.807987096
635	8.804803387
636	8.80120057
637	8.79969411
638	8.798771657
639	8.797252438
640	8.795526444
641	8.792211106
642	8.791758464
643	8.790111801
644	8.786320391
645	8.783662636
646	8.783628067
647	8.782018819
648	8.778220248
649	8.777272181
650	8.775294017
651	8.773898246
652	8.772694829
653	8.772210399
654	8.771819372
655	8.771293022
656	8.768310163
657	8.766826805
658	8.763937228
659	8.763408699
660	8.762517879
661	8.760522141
662	8.75712106
663	8.754615528
664	8.753536649
665	8.751897079
666	8.748960904
667	8.74672638
668	8.745438306
669	8.743367452
670	8.742772364
671	8.738944567
672	8.738829042
673	8.736949241
674	8.736142095
675	8.73382455
676	8.733769951
677	8.730147892
678	8.728943314
679	8.727409675
680	8.726805044
681	8.726162211
682	8.725744235
683	8.72506162
684	8.723016735
685	8.720822687
686	8.719799068
687	8.718344701
688	8.717738472
689	8.716530958
690	8.714200714
691	8.710961844
692	8.708164112
693	8.706959387
694	8.703352662
695	8.703067479
696	8.701244998
697	8.700987187
698	8.69779915
699	8.694638182
700	8.694455216
701	8.691609404
702	8.691315844
703	8.689603026
704	8.686165766
705	8.685238947
706	8.684353478
707	8.680029961
708	8.675830245
709	8.674885828
710	8.67463964
711	8.672158361
712	8.669940496
713	8.669014234
714	8.66635086
715	8.663592854
716	8.663547248
717	8.661510007
718	8.66081399
719	8.6597652
720	8.658040212
721	8.657615855
722	8.657115799
723	8.655622561
724	8.655027495
725	8.653974019
726	8.653727523
727	8.650295202
728	8.650208369
729	8.646446923
730	8.646341547
731	8.644969286
732	8.643707985
733	8.642122434
734	8.641728876
735	8.640366063
736	8.63924764
737	8.635326961
738	8.635293682
739	8.633262407
740	8.6302288
741	8.630210335
742	8.628600912
743	8.628036648
744	8.626740883
745	8.625586085
746	8.622564663
747	8.621866834
748	8.62077665
749	8.619056314
750	8.61876257
751	8.61736176
752	8.616879671
753	8.616613283
754	8.61583829
755	8.613662747
756	8.610975699
757	8.610197404
758	8.609071753
759	8.606212672
760	8.606021589
761	8.604569761
762	8.602274229
763	8.601598599
764	8.600821821
765	8.599622368
766	8.597593586
767	8.596198873
768	8.595430638
769	8.595203239
770	8.59418195
771	8.592024428
772	8.589717417
773	8.585965839
774	8.584044079
775	8.583358306
776	8.583312534
777	8.580187774
778	8.579146268
779	8.577264136
780	8.575090819
781	8.571679367
782	8.568412202
783	8.565738642
784	8.565320326
785	8.563996372
786	8.560606319
787	8.559652813
788	8.558850728
789	8.558458489
790	8.557584002
791	8.557236338
792	8.556149666
793	8.553214552
794	8.553098319
795	8.549042245
796	8.546852914
797	8.545648704
798	8.542915956
799	8.542893968
800	8.541639953
801	8.540608438
802	8.538849103
803	8.537771749
804	8.536659037
805	8.535094952
806	8.532877718
807	8.531971491
808	8.531008995
809	8.527864085
810	8.525661045
811	8.524813963
812	8.524743915
813	8.523982797
814	8.523465545
815	8.522611007
816	8.522574253
817	8.521388472
818	8.518623202
819	8.516058851
820	8.514844669
821	8.514182673
822	8.514085658
823	8.511211606
824	8.510443049
825	8.509555871
826	8.508288027
827	8.507971464
828	8.507098708
829	8.504791611
830	8.50309166
831	8.502349044
832	8.500605984
833	8.499885874
834	8.499177115
835	8.497806712
836	8.495179249
837	8.494818979
838	8.493947947
839	8.490628817
840	8.487518589
841	8.487112542
842	8.485578262
843	8.483144496
844	8.481306091
845	8.479057169
846	8.476675583
847	8.475211802
848	8.472349615
849	8.472031658
850	8.472008536
851	8.470164435
852	8.466329722
853	8.464715038
854	8.464038681
855	8.463091672
856	8.461114061
857	8.461048663
858	8.459581368
859	8.45681812
860	8.454966522
861	8.454830094
862	8.453689451
863	8.452855373
864	8.452701774
865	8.450945855
866	8.450140668
867	8.449275595
868	8.447698757
869	8.447141778
870	8.446474171
871	8.445424244
872	8.444031963
873	8.442626095
874	8.441459666
875	8.440645643
876	8.438690953
877	8.438237435
878	8.435924174
879	8.434647229
880	8.432883173
881	8.430079067
882	8.42802075
883	8.427112449
884	8.424734084
885	8.42050777
886	8.417890235
887	8.417874524
888	8.417612116
889	8.415920118
890	8.414363209
891	8.41251578
892	8.411428126
893	8.409054491
894	8.408042347
895	8.407269231
896	8.404302515
897	8.403529847
898	8.402343143
899	8.400716557
900	8.399461723
901	8.399124891
902	8.39687806
903	8.394973127
904	8.393885821
905	8.392102235
906	8.389784812
907	8.388428044
908	8.387521981
909	8.387231595
910	8.386872106
911	8.386783947
912	8.385971112
913	8.385179473
914	8.383513549
915	8.382919726
916	8.382538425
917	8.379251118
918	8.377628625
919	8.375934126
920	8.375632066
921	8.374448537
922	8.373170261
923	8.372231962
924	8.371656502
925	8.370736184
926	8.366958885
927	8.366630741
928	8.365794379
929	8.365063217
930	8.361974834
931	8.361407458
932	8.36016114
933	8.357783624
934	8.356043874
935	8.35266812
936	8.350988806
937	8.35048009
938	8.350049823
939	8.349987728
940	8.349966084
941	8.347374756
942	8.345993663
943	8.344134826
944	8.341332223
945	8.341130714
946	8.340422997
947	8.339367998
948	8.337641248
949	8.337194252
950	8.336460825
951	8.336429441
952	8.334327187
953	8.33213983
954	8.330529333
955	8.328384706
956	8.324659564
957	8.324531317
958	8.323158937
959	8.321281509
960	8.320459058
961	8.320189145
962	8.318752156
963	8.318410102
964	8.318138968
965	8.315113037
966	8.314715629
967	8.313863173
968	8.312834399
969	8.309916245
970	8.30954868
971	8.307644468
972	8.307538428
973	8.307409865
974	8.307338666
975	8.305318495
976	8.305232335
977	8.304638188
978	8.303776021
979	8.30151539
980	8.300421415
981	8.297493445
982	8.296167209
983	8.294356126
984	8.292958867
985	8.291189559
986	8.290777546
987	8.288361927
988	8.287060179
989	8.284098322
990	8.283376848
991	8.282014035
992	8.281723008
993	8.280732574
994	8.28042096
995	8.280314197
996	8.279205548
997	8.2783286
998	8.277126253
999	8.275466047
